ecosystem,country,recent_area_lost,criterion_A1,future_area_lost,criterion_A2b,historical_area_lost,criterion_A3
Tropical Lowland Humid Forest,Paraguay,0.477,VU,0.971,CR,0.725,EN
Tropical Lowland Humid Forest,Brazil,0.559,EN,0.857,CR,0.85,EN
Tropical Lowland Humid Forest,Argentina,0.12,LC,0.747,EN,0.224,LC
Tropical Lowland Humid Forest,Brazil,0.385,VU,0.704,EN,0.618,VU
Tropical Lowland Humid Forest,Bolivia,0.126,LC,0.565,EN,0.266,LC
Tropical Lowland Humid Forest,Paraguay,0.618,DD,0.964,CR,0.855,EN
Tropical Montane Humid Forest,Dominica,0.287,LC,0.137,LC,0.485,LC
Tropical Montane Humid Forest,Trinidad and Tobago,1,CR,0,DD,1,CR
Tropical Montane Humid Forest,Cuba,0.441,VU,0.589,EN,0.687,VU
Tropical Montane Humid Forest,Saint Lucia,0,LC,0.615,EN,0.118,LC
Tropical Montane Humid Forest,Dominican Republic,0.611,DD,0.366,VU,0.859,EN
Tropical Montane Humid Forest,Grenada,0,LC,0.999,CR,0.891,EN
Tropical Montane Humid Forest,"Bonaire, Saint Eustatius and Saba",0,DD,0,LC,0,DD
Tropical Montane Humid Forest,Puerto Rico,0.234,LC,0.698,EN,0.635,VU
Tropical Montane Humid Forest,Saint Vincent and the Grenadines,0,LC,0,LC,0.236,LC
Tropical Montane Humid Forest,Haiti,0.656,DD,0.704,NT,0.899,EN
Tropical Montane Humid Forest,Martinique,0.171,LC,0.682,EN,0.324,LC
Tropical Montane Humid Forest,Guadeloupe,0.288,LC,0,LC,0.644,VU
Tropical Montane Humid Forest,Saint Kitts and Nevis,1,CR,0.304,NT,1,CR
Tropical Montane Humid Forest,Jamaica,0.535,EN,0.632,EN,0.869,EN
Tropical Montane Humid Forest,Montserrat,1,CR,0.427,NT,1,CR
Tropical Montane Humid Forest,Honduras,0.154,LC,0.581,EN,0.296,LC
Tropical Montane Humid Forest,Belize,0.001,LC,0.223,LC,0.002,LC
Tropical Montane Humid Forest,El Salvador,0.546,EN,0.425,VU,0.799,EN
Tropical Montane Humid Forest,Guatemala,0.491,VU,0.881,CR,0.75,EN
Tropical Montane Humid Forest,Nicaragua,0.162,LC,0.898,CR,0.292,LC
Tropical Montane Humid Forest,Mexico,0.378,VU,0.624,EN,0.618,VU
Tropical Montane Humid Forest,Nicaragua,0.528,EN,0.908,CR,0.78,EN
Tropical Montane Humid Forest,Guatemala,0.534,EN,0.776,EN,0.79,EN
Tropical Montane Humid Forest,Mexico,0.38,VU,0.58,EN,0.625,VU
Tropical Montane Humid Forest,Belize,0.014,LC,0.791,EN,0.026,LC
Tropical Montane Humid Forest,El Salvador,0.614,EN,0.288,LC,0.883,EN
Tropical Montane Humid Forest,Honduras,0.298,LC,0.646,EN,0.515,NT
Tropical Montane Humid Forest,Panama,0.095,LC,0.225,LC,0.178,LC
Tropical Montane Humid Forest,Nicaragua,0.169,LC,0.562,NT,0.304,LC
Tropical Montane Humid Forest,Colombia,0.644,DD,0,LC,0.875,DD
Tropical Montane Humid Forest,Costa Rica,0.255,LC,0.291,LC,0.455,LC
Tropical Montane Humid Forest,Suriname,0.01,LC,0.005,LC,0.02,LC
Tropical Montane Humid Forest,French Guiana,0,LC,0.013,LC,0,LC
Tropical Montane Humid Forest,Guyana,0.072,LC,0,LC,0.135,LC
Tropical Montane Humid Forest,Venezuela,0.055,LC,0.025,LC,0.105,LC
Tropical Montane Humid Forest,Brazil,0.037,LC,0.055,LC,0.072,LC
Tropical Montane Humid Forest,French Guiana,0,LC,0.056,LC,0,LC
Tropical Montane Humid Forest,Venezuela,0.061,LC,0.025,LC,0.12,LC
Tropical Montane Humid Forest,Brazil,0.004,LC,0.032,LC,0.009,LC
Tropical Montane Humid Forest,Suriname,0.001,LC,0.041,LC,0.002,LC
Tropical Montane Humid Forest,Guyana,0.008,LC,0.046,LC,0.016,LC
Tropical Montane Humid Forest,Ecuador,0.557,EN,0,LC,0.806,EN
Tropical Montane Humid Forest,Peru,0.524,EN,0.312,NT,0.773,EN
Tropical Montane Humid Forest,Colombia,0.741,EN,0.159,LC,0.971,CR
Tropical Montane Humid Forest,Venezuela,0.358,VU,0.265,LC,0.59,VU
Tropical Montane Humid Forest,Venezuela,0.25,LC,0.552,EN,0.435,LC
Tropical Montane Humid Forest,Ecuador,0.382,VU,0.429,VU,0.579,VU
Tropical Montane Humid Forest,Peru,0.136,LC,0.162,LC,0.251,LC
Tropical Montane Humid Forest,Colombia,0.587,EN,0.408,VU,0.893,EN
Tropical Montane Humid Forest,Panama,0.514,EN,0.227,LC,0.763,EN
Tropical Montane Humid Forest,Venezuela,0.282,LC,0.123,LC,0.497,LC
Tropical Montane Humid Forest,Ecuador,0.112,LC,0.494,NT,0.206,LC
Tropical Montane Humid Forest,Argentina,0,LC,0,LC,0,LC
Tropical Montane Humid Forest,Peru,0.469,VU,0.088,LC,0.716,EN
Tropical Montane Humid Forest,Bolivia,0.485,VU,0.11,LC,0.781,EN
Tropical Montane Humid Forest,Chile,0,DD,0,DD,0,DD
Tropical Montane Humid Forest,Peru,0.218,LC,0.332,VU,0.383,LC
Tropical Montane Humid Forest,Bolivia,0.34,VU,0.257,LC,0.574,VU
Tropical Montane Humid Forest,Argentina,0,LC,0,LC,0,LC
Tropical Montane Humid Forest,Argentina,0.024,LC,0.178,LC,0.048,LC
Tropical Montane Humid Forest,Bolivia,0.389,VU,0.295,LC,0.73,EN
Tropical Montane Humid Forest,Peru,0.105,LC,0.13,LC,0.195,LC
Tropical Montane Humid Forest,Argentina,0.039,LC,0.262,LC,0.079,LC
Tropical Montane Humid Forest,Bolivia,0.211,LC,0.345,VU,0.41,LC
Tropical Montane Humid Forest,Peru,0.153,LC,0.426,VU,0.277,LC
Tropical Montane Humid Forest,Peru,0.529,EN,0.227,LC,0.779,EN
Tropical Montane Humid Forest,Bolivia,0.282,LC,0.22,LC,0.596,VU
Tropical Montane Humid Forest,Chile,0.265,LC,0,DD,0.453,LC
Tropical Montane Humid Forest,Argentina,0.062,LC,0,LC,0.116,LC
Tropical Montane Humid Forest,Peru,0.25,LC,0.065,LC,0.431,LC
Tropical Montane Humid Forest,Colombia,0.747,EN,0.135,LC,0.972,CR
Tropical Montane Humid Forest,Ecuador,0.457,VU,0.212,LC,0.702,EN
Tropical Montane Humid Forest,Argentina,0.172,LC,0.798,EN,0.308,LC
Tropical Montane Humid Forest,Paraguay,0.509,EN,0.878,CR,0.757,EN
Tropical Montane Humid Forest,Brazil,0.519,EN,0.665,DD,0.775,EN
Tropical Flooded & Swamp Forest,Virgin Islands,0,LC,0,DD,1,CR
Tropical Flooded & Swamp Forest,Jamaica,0.662,EN,0,LC,0.981,CR
Tropical Flooded & Swamp Forest,Cuba,0.574,EN,0,LC,0.821,EN
Tropical Flooded & Swamp Forest,United States,0.504,EN,0,LC,0.755,EN
Tropical Flooded & Swamp Forest,Turks and Caicas Islands,0.044,LC,0.976,CR,0.084,LC
Tropical Flooded & Swamp Forest,British Virgin Islands,0,DD,0,DD,0,DD
Tropical Flooded & Swamp Forest,Barbados,0,DD,0,LC,0,DD
Tropical Flooded & Swamp Forest,Haiti,0.676,DD,0,LC,0.95,CR
Tropical Flooded & Swamp Forest,Trinidad and Tobago,0.201,LC,0,LC,0.534,NT
Tropical Flooded & Swamp Forest,Dominican Republic,0.635,DD,0,LC,0.883,EN
Tropical Flooded & Swamp Forest,Guadeloupe,0,LC,0,LC,0.853,EN
Tropical Flooded & Swamp Forest,Puerto Rico,0.903,DD,0,LC,0.998,CR
Tropical Flooded & Swamp Forest,Antigua and Barbuda,1,CR,0,DD,1,CR
Tropical Flooded & Swamp Forest,Martinique,0,LC,0.012,LC,0.301,LC
Tropical Flooded & Swamp Forest,Bahamas,0,LC,0.392,NT,0,LC
Tropical Flooded & Swamp Forest,Saint Lucia,0.578,EN,0.964,NT,0.903,CR
Tropical Flooded & Swamp Forest,Saint Martin,0,DD,#VALUE!,NA,0,DD
Tropical Flooded & Swamp Forest,Honduras,0.165,LC,0.741,EN,0.311,LC
Tropical Flooded & Swamp Forest,Belize,0.009,LC,0.433,VU,0.018,LC
Tropical Flooded & Swamp Forest,Costa Rica,0.297,LC,0.111,LC,0.501,NT
Tropical Flooded & Swamp Forest,Haiti,0.64,DD,0.341,NT,0.927,CR
Tropical Flooded & Swamp Forest,Barbados,0,DD,0,DD,0,DD
Tropical Flooded & Swamp Forest,Bahamas,0,LC,0.567,NT,0.002,LC
Tropical Flooded & Swamp Forest,Turks and Caicas Islands,0.166,LC,0,DD,0.3,LC
Tropical Flooded & Swamp Forest,Nicaragua,0.256,LC,0.779,EN,0.445,LC
Tropical Flooded & Swamp Forest,Antigua and Barbuda,0.835,DD,0,LC,0.994,DD
Tropical Flooded & Swamp Forest,Dominican Republic,0.614,DD,0,LC,0.871,EN
Tropical Flooded & Swamp Forest,Martinique,0,LC,0.15,LC,0.534,NT
Tropical Flooded & Swamp Forest,Mexico,0.248,LC,0.245,LC,0.471,LC
Tropical Flooded & Swamp Forest,Dominica,0.138,LC,0.419,NT,0.429,LC
Tropical Flooded & Swamp Forest,Guatemala,0.265,LC,0.857,CR,0.462,LC
Tropical Flooded & Swamp Forest,Panama,0.169,LC,0.643,EN,0.315,LC
Tropical Flooded & Swamp Forest,Trinidad and Tobago,0.292,LC,0,LC,0.648,VU
Tropical Flooded & Swamp Forest,Saint Vincent and the Grenadines,0,LC,0,LC,0.65,VU
Tropical Flooded & Swamp Forest,Jamaica,0.422,VU,0.526,EN,0.808,EN
Tropical Flooded & Swamp Forest,Virgin Islands,0,LC,0,DD,1,CR
Tropical Flooded & Swamp Forest,United States,0,LC,0,DD,0,LC
Tropical Flooded & Swamp Forest,Cuba,0.513,EN,0,LC,0.765,EN
Tropical Flooded & Swamp Forest,Guadeloupe,0,LC,0,LC,0.471,LC
Tropical Flooded & Swamp Forest,Saint Lucia,0.345,VU,0,LC,0.817,EN
Tropical Flooded & Swamp Forest,Grenada,0,LC,1,CR,1,CR
Tropical Flooded & Swamp Forest,Puerto Rico,0.548,EN,0,LC,0.907,CR
Tropical Flooded & Swamp Forest,Ecuador,0.076,LC,0.966,CR,0.284,LC
Tropical Flooded & Swamp Forest,Costa Rica,0.37,VU,0,LC,0.601,VU
Tropical Flooded & Swamp Forest,Colombia,0.38,VU,0.191,LC,0.595,VU
Tropical Flooded & Swamp Forest,Panama,0.344,VU,0.452,VU,0.571,VU
Tropical Flooded & Swamp Forest,Jamaica,0.691,EN,0,DD,0.947,CR
Tropical Flooded & Swamp Forest,Honduras,0.163,LC,0.039,LC,0.318,LC
Tropical Flooded & Swamp Forest,Mexico,0.442,VU,0,LC,0.723,EN
Tropical Flooded & Swamp Forest,Belize,0.01,LC,0.427,VU,0.021,LC
Tropical Flooded & Swamp Forest,Nicaragua,0.223,LC,0.021,LC,0.392,LC
Tropical Flooded & Swamp Forest,El Salvador,0.696,EN,0,LC,0.944,CR
Tropical Flooded & Swamp Forest,United States,0.644,DD,0.42,NT,0.875,DD
Tropical Flooded & Swamp Forest,Trinidad and Tobago,0.292,LC,0,LC,0.569,VU
Tropical Flooded & Swamp Forest,Guatemala,0.323,NT,0.385,VU,0.555,VU
Tropical Flooded & Swamp Forest,Honduras,0.09,LC,0.342,NT,0.187,LC
Tropical Flooded & Swamp Forest,Costa Rica,0.342,VU,0.011,LC,0.568,VU
Tropical Flooded & Swamp Forest,Panama,0.263,LC,0.26,LC,0.457,LC
Tropical Flooded & Swamp Forest,Mexico,0.142,LC,0.13,LC,0.291,LC
Tropical Flooded & Swamp Forest,Belize,0.002,LC,0.382,VU,0.007,LC
Tropical Flooded & Swamp Forest,Guatemala,0.25,LC,0.767,EN,0.46,LC
Tropical Flooded & Swamp Forest,Colombia,0.573,EN,0,LC,0.877,EN
Tropical Flooded & Swamp Forest,Nicaragua,0.317,NT,0.33,NT,0.536,NT
Tropical Flooded & Swamp Forest,El Salvador,0.604,DD,0,LC,0.856,EN
Tropical Flooded & Swamp Forest,Colombia,0.745,EN,0,LC,0.976,CR
Tropical Flooded & Swamp Forest,Guyana,0.246,LC,0.15,LC,0.425,LC
Tropical Flooded & Swamp Forest,Venezuela,0.421,VU,0,LC,0.663,VU
Tropical Flooded & Swamp Forest,Panama,0.229,LC,0.109,LC,0.4,LC
Tropical Flooded & Swamp Forest,Peru,0,DD,0,DD,0,DD
Tropical Flooded & Swamp Forest,Colombia,0.422,VU,0.243,LC,0.722,EN
Tropical Flooded & Swamp Forest,Ecuador,0.205,LC,0.466,VU,0.362,LC
Tropical Flooded & Swamp Forest,Colombia,0.811,CR,0.256,LC,0.989,CR
Tropical Flooded & Swamp Forest,Venezuela,0.534,EN,0.324,NT,0.784,EN
Tropical Flooded & Swamp Forest,Peru,0,DD,0,LC,0,DD
Tropical Flooded & Swamp Forest,Ecuador,0.8,EN,0.834,NT,0.917,CR
Tropical Flooded & Swamp Forest,Colombia,0.784,EN,0,LC,0.984,CR
Tropical Flooded & Swamp Forest,Venezuela,0.024,LC,0.091,LC,0.047,LC
Tropical Flooded & Swamp Forest,Suriname,0,LC,0.012,LC,0,LC
Tropical Flooded & Swamp Forest,Guyana,0.014,LC,0,LC,0.027,LC
Tropical Flooded & Swamp Forest,French Guiana,0,LC,0.067,LC,0,LC
Tropical Flooded & Swamp Forest,Brazil,0.049,LC,0,LC,0.093,LC
Tropical Flooded & Swamp Forest,French Guiana,0.001,LC,0.074,LC,0.001,LC
Tropical Flooded & Swamp Forest,Colombia,0.043,LC,0,LC,0.092,LC
Tropical Flooded & Swamp Forest,Venezuela,0.036,LC,0.051,LC,0.071,LC
Tropical Flooded & Swamp Forest,Guyana,0.193,LC,0,LC,0.341,LC
Tropical Flooded & Swamp Forest,Suriname,0.027,LC,0,LC,0.057,LC
Tropical Flooded & Swamp Forest,Brazil,0.2,LC,0,LC,0.355,LC
Tropical Flooded & Swamp Forest,Guyana,0.1,LC,0,LC,0.16,LC
Tropical Flooded & Swamp Forest,French Guiana,0.011,LC,0,LC,0.024,LC
Tropical Flooded & Swamp Forest,Suriname,0.006,LC,0,LC,0.017,LC
Tropical Flooded & Swamp Forest,Venezuela,0.051,LC,0,LC,0.099,LC
Tropical Flooded & Swamp Forest,Brazil,0,LC,0,LC,0,LC
Tropical Flooded & Swamp Forest,Trinidad and Tobago,0.002,LC,0,LC,0.005,LC
Tropical Flooded & Swamp Forest,Venezuela,0.316,NT,0.289,LC,0.534,NT
Tropical Flooded & Swamp Forest,Peru,0.485,VU,0.53,EN,0.733,EN
Tropical Flooded & Swamp Forest,Ecuador,0.407,VU,0.457,VU,0.625,VU
Tropical Flooded & Swamp Forest,Colombia,0.673,EN,0.185,LC,0.944,CR
Tropical Flooded & Swamp Forest,Argentina,0.22,LC,0,LC,0.385,LC
Tropical Flooded & Swamp Forest,Peru,0.204,LC,0.472,VU,0.361,LC
Tropical Flooded & Swamp Forest,Bolivia,0.543,EN,0.316,NT,0.899,EN
Tropical Flooded & Swamp Forest,Chile,0,DD,0,DD,0,DD
Tropical Flooded & Swamp Forest,Bolivia,0.296,LC,0.484,VU,0.592,VU
Tropical Flooded & Swamp Forest,Peru,0.205,LC,0.334,VU,0.362,LC
Tropical Flooded & Swamp Forest,Argentina,0.07,LC,0.509,EN,0.144,LC
Tropical Flooded & Swamp Forest,Peru,0.108,LC,0.637,EN,0.201,LC
Tropical Flooded & Swamp Forest,Bolivia,0.084,LC,0.977,CR,0.156,LC
Tropical Flooded & Swamp Forest,Ecuador,0.014,LC,0.181,LC,0.033,LC
Tropical Flooded & Swamp Forest,Peru,0.005,LC,0.102,LC,0.014,LC
Tropical Flooded & Swamp Forest,Brazil,0.01,LC,0.145,LC,0.019,LC
Tropical Flooded & Swamp Forest,Colombia,0.05,LC,0.062,LC,0.099,LC
Tropical Flooded & Swamp Forest,Ecuador,0.009,LC,0.096,LC,0.018,LC
Tropical Flooded & Swamp Forest,Bolivia,0.34,VU,1,CR,0.56,VU
Tropical Flooded & Swamp Forest,Colombia,0.029,LC,0,LC,0.059,LC
Tropical Flooded & Swamp Forest,Brazil,0.001,LC,0.067,LC,0.003,LC
Tropical Flooded & Swamp Forest,Peru,0.011,LC,0.028,LC,0.024,LC
Tropical Flooded & Swamp Forest,Colombia,1,CR,0,DD,1,CR
Tropical Flooded & Swamp Forest,Peru,0.006,LC,0.133,LC,0.01,LC
Tropical Flooded & Swamp Forest,Bolivia,0.104,LC,0.416,VU,0.217,LC
Tropical Flooded & Swamp Forest,Brazil,0.007,LC,0.101,LC,0.013,LC
Tropical Flooded & Swamp Forest,Colombia,0,LC,0,LC,0,LC
Tropical Flooded & Swamp Forest,Bolivia,0.065,LC,0.276,LC,0.14,LC
Tropical Flooded & Swamp Forest,Peru,0.005,LC,0.101,LC,0.01,LC
Tropical Flooded & Swamp Forest,Brazil,0.062,LC,0.458,VU,0.117,LC
Tropical Flooded & Swamp Forest,Colombia,0.025,LC,0.041,LC,0.057,LC
Tropical Flooded & Swamp Forest,Peru,0,LC,0.005,LC,0.002,LC
Tropical Flooded & Swamp Forest,Brazil,0.003,LC,0.05,LC,0.006,LC
Tropical Flooded & Swamp Forest,Venezuela,0.013,LC,0.028,LC,0.025,LC
Tropical Flooded & Swamp Forest,Brazil,0.065,LC,0.231,LC,0.124,LC
Tropical Flooded & Swamp Forest,Bolivia,0.217,LC,0,LC,0.407,LC
Tropical Flooded & Swamp Forest,Peru,0,LC,0,LC,0,LC
Tropical Flooded & Swamp Forest,Colombia,0.003,LC,0.002,LC,0.006,LC
Tropical Flooded & Swamp Forest,Bolivia,0.04,LC,0.275,LC,0.09,LC
Tropical Flooded & Swamp Forest,Brazil,0.046,LC,0.338,VU,0.088,LC
Tropical Flooded & Swamp Forest,Colombia,0,LC,0,LC,0,LC
Tropical Flooded & Swamp Forest,French Guiana,0,LC,0,LC,0,LC
Tropical Flooded & Swamp Forest,Brazil,0.074,LC,0,LC,0.141,LC
Tropical Flooded & Swamp Forest,Brazil,0.525,EN,0.211,LC,0.785,EN
Tropical Flooded & Swamp Forest,Paraguay,0.507,EN,0.988,CR,0.756,EN
Tropical Flooded & Swamp Forest,Argentina,0.638,DD,0.987,CR,0.88,EN
Tropical Flooded & Swamp Forest,Brazil,0.632,DD,0,LC,0.873,EN
Tropical Flooded & Swamp Forest,Bolivia,0.268,LC,0.761,EN,0.558,VU
Tropical Flooded & Swamp Forest,Brazil,0.422,VU,0.66,EN,0.662,VU
Tropical Flooded & Swamp Forest,Paraguay,0.541,EN,0.988,CR,0.789,EN
Tropical Flooded & Swamp Forest,Bolivia,0.297,LC,0.188,LC,0.592,VU
Tropical Flooded & Swamp Forest,Brazil,0.246,LC,0.269,LC,0.425,LC
Tropical Flooded & Swamp Forest,Bolivia,0.353,VU,0,LC,0.691,VU
Tropical Flooded & Swamp Forest,Brazil,0.644,DD,0,LC,0.875,DD
Tropical Flooded & Swamp Forest,Paraguay,0.645,DD,0,LC,0.877,DD
Tropical Flooded & Swamp Forest,Brazil,0.531,EN,0.523,EN,0.779,EN
Tropical Flooded & Swamp Forest,Bolivia,0.665,EN,0.812,CR,0.938,CR
Tropical Flooded & Swamp Forest,Paraguay,0.613,DD,0.797,EN,0.852,EN
Tropical Flooded & Swamp Forest,Brazil,0.448,VU,0.674,EN,0.692,VU
Tropical Flooded & Swamp Forest,Argentina,0.281,LC,0.653,EN,0.477,LC
Tropical Flooded & Swamp Forest,Bolivia,0.855,CR,0,LC,0.994,CR
Tropical Flooded & Swamp Forest,Brazil,0.644,DD,0,LC,0.875,DD
Tropical Flooded & Swamp Forest,Argentina,0.294,LC,0.583,EN,0.497,LC
Tropical Flooded & Swamp Forest,Bolivia,0.784,EN,0,LC,0.983,CR
Tropical Flooded & Swamp Forest,Paraguay,0.642,DD,0.64,EN,0.873,DD
Tropical Flooded & Swamp Forest,Paraguay,0.629,DD,0.608,NT,0.864,DD
Tropical Flooded & Swamp Forest,Brazil,0.536,EN,0,LC,0.783,EN
Tropical Flooded & Swamp Forest,Argentina,0.323,NT,0.767,NT,0.543,NT
Tropical Flooded & Swamp Forest,Bolivia,0.785,EN,0,LC,0.981,CR
Tropical Flooded & Swamp Forest,Paraguay,0.644,DD,0.995,NT,0.875,DD
Tropical Flooded & Swamp Forest,Argentina,0.644,DD,0.999,CR,0.875,DD
Warm Temperate Forest,Chile,0.59,EN,0,LC,0.884,EN
Warm Temperate Forest,Chile,0.527,EN,0,LC,0.775,EN
Warm Temperate Forest,Argentina,0.591,DD,0,LC,0.833,EN
Warm Temperate Forest,Argentina,0.571,EN,0,LC,0.819,EN
Warm Temperate Forest,Uruguay,0.699,DD,0.882,NT,0.972,CR
Warm Temperate Forest,Brazil,0.883,CR,0,LC,0.997,CR
Cool Temperate Forest,Chile,0.183,LC,0,LC,0.346,LC
Cool Temperate Forest,Argentina,0.199,LC,0.131,LC,0.375,LC
Cool Temperate Forest,Argentina,0.485,VU,0,LC,0.76,EN
Cool Temperate Forest,Chile,0.256,LC,0.376,VU,0.48,LC
Cool Temperate Forest,Chile,0.104,LC,0,LC,0.193,LC
Cool Temperate Forest,Argentina,0.292,LC,0,LC,0.498,LC
Cool Temperate Forest,Argentina,0.279,LC,0,LC,0.503,NT
Cool Temperate Forest,Chile,0.105,LC,0.24,LC,0.215,LC
Cool Temperate Forest,Chile,0.093,LC,0,LC,0.174,LC
Cool Temperate Forest,Argentina,0.622,DD,0,LC,0.866,EN
Temperate Flooded & Swamp Forest,Mexico,0.557,EN,0,LC,0.825,EN
Temperate Flooded & Swamp Forest,Brazil,0.695,EN,0.362,NT,0.963,CR
Temperate Flooded & Swamp Forest,Paraguay,0.644,DD,0.803,NT,0.875,DD
Temperate Flooded & Swamp Forest,Uruguay,0.34,VU,0.987,DD,0.784,EN
Temperate Flooded & Swamp Forest,Argentina,0.634,DD,0.496,NT,0.872,EN
Temperate Flooded & Swamp Forest,Chile,0.617,EN,0.459,NT,0.894,EN
Temperate Flooded & Swamp Forest,Argentina,0.112,LC,0,DD,0.207,LC
Temperate Flooded & Swamp Forest,Chile,0.097,LC,0,LC,0.184,LC
Temperate Flooded & Swamp Forest,Argentina,0.552,EN,0.429,VU,0.81,EN
Temperate Flooded & Swamp Forest,Chile,0.034,LC,0,DD,0.064,LC
Temperate Flooded & Swamp Forest,Argentina,0.236,LC,0.663,NT,0.415,LC
Tropical Dry Forest & Woodland,Bolivia,0.525,EN,0.807,NT,0.85,EN
Tropical Dry Forest & Woodland,Brazil,0.531,EN,0.509,NT,0.78,EN
Tropical Dry Forest & Woodland,Paraguay,0.63,DD,0.937,CR,0.865,DD
Tropical Lowland Humid Forest,Honduras,0.229,LC,0.691,EN,0.411,LC
Tropical Lowland Humid Forest,El Salvador,0.595,EN,0.348,NT,0.857,EN
Tropical Lowland Humid Forest,Colombia,0.432,VU,0.195,LC,0.674,VU
Tropical Lowland Humid Forest,Panama,0.273,LC,0.43,VU,0.475,LC
Tropical Lowland Humid Forest,Mexico,0.13,LC,0.457,VU,0.255,LC
Tropical Lowland Humid Forest,Costa Rica,0.456,VU,0.408,VU,0.711,EN
Tropical Lowland Humid Forest,Nicaragua,0.315,NT,0.856,CR,0.537,NT
Tropical Lowland Humid Forest,Guatemala,0.492,VU,0.901,CR,0.754,EN
Tropical Lowland Humid Forest,Belize,0.002,LC,0.199,LC,0.004,LC