ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Tropical Dry Forest & Woodland,Colombia,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Costa Rica,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Venezuela,VU,LC,VU,LC,LC,LC,LC,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Colombia,EN,LC,CR,LC,LC,LC,VU,NE,VU,EN,LC
Tropical Dry Forest & Woodland,Trinidad and Tobago,LC,LC,NT,LC,LC,LC,LC,NE,LC,DD,CR
Tropical Dry Forest & Woodland,Venezuela,EN,NT,EN,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Colombia,EN,EN,CR,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Peru,EN,NT,EN,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Ecuador,DD,CR,EN,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Colombia,EN,EN,CR,EN,CR,LC,DD,NE,VU,EN,EN
Tropical Dry Forest & Woodland,Guyana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Suriname,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,French Guiana,LC,LC,LC,LC,EN,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Brazil,DD,LC,EN,LC,LC,LC,NT,NE,LC,VU,VU
Tropical Dry Forest & Woodland,Brazil,VU,EN,VU,LC,LC,LC,LC,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Paraguay,EN,CR,EN,LC,LC,LC,LC,NE,VU,VU,LC
Tropical Dry Forest & Woodland,Bolivia,VU,NT,VU,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Paraguay,VU,CR,EN,LC,LC,LC,DD,NE,VU,NT,VU
Tropical Dry Forest & Woodland,Argentina,LC,NT,LC,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Brazil,DD,LC,DD,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Bolivia,CR,LC,CR,LC,NT,LC,DD,NE,DD,LC,DD
Tropical Dry Forest & Woodland,Brazil,NT,CR,NT,LC,LC,LC,LC,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Ecuador,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Peru,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Colombia,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Venezuela,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Peru,LC,EN,LC,LC,LC,LC,DD,NE,NT,NT,LC
Tropical Dry Forest & Woodland,Argentina,DD,DD,DD,DD,DD,DD,DD,DD,DD,LC,DD
Tropical Dry Forest & Woodland,Bolivia,LC,VU,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Dry Forest & Woodland,Ecuador,EN,DD,EN,EN,CR,LC,DD,DD,VU,LC,LC
Tropical Dry Forest & Woodland,Bolivia,NT,VU,VU,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Argentina,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Honduras,LC,EN,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Guatemala,LC,CR,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Mexico,VU,EN,VU,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Belize,LC,VU,LC,VU,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,El Salvador,DD,LC,EN,LC,LC,LC,DD,NE,LC,EN,LC
Tropical Lowland Humid Forest,Panama,LC,VU,LC,LC,LC,LC,DD,DD,LC,NT,LC
Tropical Lowland Humid Forest,Nicaragua,LC,CR,LC,LC,LC,LC,DD,NE,VU,NT,VU
Tropical Lowland Humid Forest,Costa Rica,VU,LC,VU,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Lowland Humid Forest,Colombia,VU,LC,VU,EN,VU,LC,DD,DD,VU,LC,VU
Tropical Lowland Humid Forest,Venezuela,NT,LC,NT,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Colombia,EN,LC,CR,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Lowland Humid Forest,Colombia,EN,VU,EN,LC,LC,LC,DD,NE,VU,VU,LC
Tropical Lowland Humid Forest,Venezuela,VU,LC,EN,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Ecuador,VU,EN,VU,VU,LC,LC,LC,NE,VU,LC,LC
Tropical Lowland Humid Forest,Panama,LC,LC,LC,LC,LC,LC,NT,NE,VU,LC,LC
Tropical Lowland Humid Forest,Colombia,VU,LC,EN,LC,LC,LC,NT,NE,VU,LC,LC
Tropical Lowland Humid Forest,Peru,DD,NT,DD,LC,NT,LC,DD,NE,DD,EN,DD
Tropical Lowland Humid Forest,Colombia,DD,EN,CR,EN,VU,LC,DD,NE,DD,LC,DD
Tropical Lowland Humid Forest,Ecuador,EN,CR,EN,LC,LC,LC,DD,NE,VU,LC,LC
Tropical Lowland Humid Forest,Colombia,EN,EN,CR,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Lowland Humid Forest,Venezuela,VU,CR,EN,LC,LC,LC,DD,NE,VU,VU,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,NT,NE,LC,LC,LC
Tropical Lowland Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,Suriname,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,French Guiana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Trinidad and Tobago,LC,LC,LC,LC,LC,LC,DD,DD,LC,DD,EN
Tropical Lowland Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Suriname,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,CR,LC,CR,LC,LC,LC,DD,NE,DD,NT,DD
Tropical Lowland Humid Forest,French Guiana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Venezuela,NT,LC,NT,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Bolivia,LC,CR,LC,EN,CR,LC,NT,NE,LC,VU,LC
Tropical Lowland Humid Forest,Peru,LC,LC,LC,LC,LC,LC,VU,NE,VU,LC,VU
Tropical Lowland Humid Forest,Ecuador,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,Ecuador,LC,NT,LC,LC,LC,LC,DD,NE,VU,NT,LC
Tropical Lowland Humid Forest,Colombia,NT,VU,NT,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Lowland Humid Forest,Peru,LC,VU,LC,LC,LC,LC,DD,NE,VU,LC,LC
Tropical Lowland Humid Forest,Peru,LC,LC,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,NT,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Lowland Humid Forest,Bolivia,LC,LC,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,DD,NE,VU,LC,VU
Tropical Lowland Humid Forest,Peru,LC,VU,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,Bolivia,LC,VU,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Lowland Humid Forest,Peru,LC,LC,LC,LC,VU,LC,LC,NE,VU,LC,VU
Tropical Lowland Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,French Guiana,LC,LC,LC,LC,LC,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,NT,NE,LC,LC,LC
Tropical Lowland Humid Forest,Suriname,LC,LC,LC,LC,LC,LC,LC,DD,LC,LC,LC
Tropical Lowland Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,LC,VU,LC,LC,LC,LC,NT,NE,LC,LC,LC
Tropical Lowland Humid Forest,Bolivia,LC,LC,LC,LC,VU,LC,LC,NE,LC,LC,LC
Tropical Lowland Humid Forest,Peru,LC,LC,LC,LC,LC,LC,LC,NE,VU,LC,VU
Tropical Lowland Humid Forest,Colombia,LC,LC,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Lowland Humid Forest,Brazil,VU,LC,EN,LC,LC,LC,LC,NE,LC,VU,VU
Tropical Lowland Humid Forest,Paraguay,VU,CR,EN,LC,LC,LC,DD,NE,VU,NT,LC
Tropical Lowland Humid Forest,Argentina,LC,EN,LC,VU,LC,LC,DD,NE,VU,NT,EN
Tropical Lowland Humid Forest,Brazil,EN,CR,EN,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Lowland Humid Forest,Paraguay,DD,CR,EN,VU,EN,LC,VU,NE,VU,VU,LC
Tropical Lowland Humid Forest,Brazil,VU,EN,VU,LC,LC,LC,NT,NE,LC,LC,LC
Tropical Lowland Humid Forest,Bolivia,LC,EN,LC,LC,LC,LC,NT,NE,LC,LC,LC
Tropical Montane Humid Forest,Trinidad and Tobago,CR,DD,CR,DD,DD,DD,DD,DD,DD,DD,DD
Tropical Montane Humid Forest,Saint Vincent and the Grenadines,LC,LC,LC,LC,LC,VU,DD,DD,DD,NE,LC
Tropical Montane Humid Forest,Dominican Republic,DD,VU,EN,VU,LC,LC,DD,NE,LC,NE,LC
Tropical Montane Humid Forest,Dominica,LC,LC,LC,LC,LC,LC,DD,DD,LC,NE,LC
Tropical Montane Humid Forest,Cuba,VU,EN,VU,LC,LC,LC,DD,NE,VU,NE,LC
Tropical Montane Humid Forest,Puerto Rico,LC,EN,VU,EN,VU,LC,DD,NE,LC,NE,VU
Tropical Montane Humid Forest,Guadeloupe,LC,LC,VU,LC,LC,LC,DD,DD,LC,NE,LC
Tropical Montane Humid Forest,Grenada,LC,CR,EN,CR,CR,LC,DD,DD,DD,NE,LC
Tropical Montane Humid Forest,Saint Kitts and Nevis,CR,NT,CR,LC,LC,VU,DD,DD,DD,NE,DD
Tropical Montane Humid Forest,Jamaica,EN,EN,EN,EN,EN,LC,DD,NE,LC,NE,VU
Tropical Montane Humid Forest,"Bonaire, Saint Eustatius and Saba",DD,LC,DD,LC,NT,VU,DD,DD,DD,DD,DD
Tropical Montane Humid Forest,Saint Lucia,LC,EN,LC,CR,CR,VU,DD,DD,LC,NE,LC
Tropical Montane Humid Forest,Montserrat,CR,NT,CR,LC,LC,VU,DD,DD,DD,NE,DD
Tropical Montane Humid Forest,Martinique,LC,EN,LC,CR,EN,VU,DD,DD,LC,NE,LC
Tropical Montane Humid Forest,Haiti,DD,NT,EN,LC,LC,LC,DD,NE,LC,NE,VU
Tropical Montane Humid Forest,Guatemala,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,El Salvador,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Nicaragua,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Belize,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Mexico,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Honduras,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Honduras,LC,EN,NT,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Montane Humid Forest,El Salvador,EN,LC,EN,LC,LC,LC,DD,NE,LC,EN,LC
Tropical Montane Humid Forest,Belize,LC,EN,LC,EN,EN,LC,DD,NE,VU,LC,VU
Tropical Montane Humid Forest,Nicaragua,EN,CR,EN,VU,LC,LC,DD,NE,VU,EN,VU
Tropical Montane Humid Forest,Mexico,VU,EN,VU,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Montane Humid Forest,Guatemala,EN,EN,EN,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Montane Humid Forest,Colombia,DD,LC,DD,LC,NT,VU,DD,DD,DD,LC,DD
Tropical Montane Humid Forest,Nicaragua,LC,NT,LC,LC,LC,LC,DD,DD,LC,EN,LC
Tropical Montane Humid Forest,Costa Rica,LC,LC,LC,VU,LC,LC,DD,NE,VU,LC,VU
Tropical Montane Humid Forest,Panama,LC,LC,LC,LC,LC,LC,DD,DD,VU,LC,VU
Tropical Montane Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Montane Humid Forest,Suriname,LC,LC,LC,LC,LC,LC,DD,DD,LC,LC,LC
Tropical Montane Humid Forest,French Guiana,LC,LC,LC,LC,LC,LC,DD,DD,LC,LC,LC
Tropical Montane Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Montane Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Montane Humid Forest,French Guiana,LC,LC,LC,LC,VU,LC,DD,DD,LC,LC,LC
Tropical Montane Humid Forest,Brazil,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Suriname,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Guyana,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Venezuela,VU,LC,VU,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Montane Humid Forest,Colombia,EN,LC,CR,LC,LC,LC,NT,NE,VU,NT,LC
Tropical Montane Humid Forest,Peru,EN,NT,EN,LC,LC,LC,VU,NE,LC,LC,LC
Tropical Montane Humid Forest,Ecuador,EN,LC,EN,LC,LC,LC,NT,NE,LC,NT,LC
Tropical Montane Humid Forest,Ecuador,VU,VU,VU,LC,LC,LC,VU,NE,VU,LC,LC
Tropical Montane Humid Forest,Colombia,EN,VU,EN,LC,LC,LC,NT,NE,VU,NT,LC
Tropical Montane Humid Forest,Panama,EN,LC,EN,EN,CR,LC,EN,DD,VU,LC,VU
Tropical Montane Humid Forest,Peru,LC,LC,LC,LC,LC,LC,VU,NE,VU,LC,VU
Tropical Montane Humid Forest,Venezuela,LC,EN,LC,LC,LC,LC,EN,NE,LC,LC,LC
Tropical Montane Humid Forest,Venezuela,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Chile,DD,DD,DD,DD,DD,DD,DD,DD,DD,NT,DD
Tropical Montane Humid Forest,Ecuador,LC,NT,LC,LC,LC,LC,DD,DD,LC,LC,LC
Tropical Montane Humid Forest,Argentina,LC,LC,LC,LC,NT,LC,DD,NE,VU,LC,VU
Tropical Montane Humid Forest,Bolivia,VU,LC,EN,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Peru,VU,LC,EN,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Montane Humid Forest,Argentina,LC,LC,LC,LC,NT,VU,DD,NE,LC,LC,VU
Tropical Montane Humid Forest,Bolivia,VU,LC,VU,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Peru,LC,VU,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Argentina,LC,LC,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Bolivia,VU,LC,EN,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Peru,LC,LC,LC,VU,VU,LC,DD,DD,LC,NT,LC
Tropical Montane Humid Forest,Peru,LC,VU,LC,EN,VU,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Bolivia,LC,VU,LC,LC,LC,LC,DD,NE,LC,LC,LC
Tropical Montane Humid Forest,Argentina,LC,LC,LC,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Montane Humid Forest,Chile,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Peru,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Bolivia,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Argentina,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Montane Humid Forest,Peru,LC,LC,LC,LC,LC,LC,DD,NE,VU,LC,VU
Tropical Montane Humid Forest,Ecuador,VU,LC,EN,LC,LC,LC,DD,NE,VU,LC,VU
Tropical Montane Humid Forest,Colombia,EN,LC,CR,LC,LC,LC,DD,NE,VU,LC,LC
Tropical Montane Humid Forest,Paraguay,EN,CR,EN,LC,EN,LC,VU,NE,VU,VU,VU
Tropical Montane Humid Forest,Brazil,EN,DD,EN,LC,LC,LC,VU,NE,VU,VU,VU
Tropical Montane Humid Forest,Argentina,LC,EN,LC,VU,LC,LC,NT,NE,VU,NT,EN
Tropical Flooded & Swamp Forest,Turks and Caicas Islands,LC,CR,LC,CR,CO,VU,DD,LC,EN,DD,EN
Tropical Flooded & Swamp Forest,Trinidad and Tobago,LC,LC,NT,LC,LC,LC,DD,EN,LC,DD,CR
Tropical Flooded & Swamp Forest,Barbados,DD,LC,DD,DD,DD,DD,DD,DD,DD,NE,DD
Tropical Flooded & Swamp Forest,Bahamas,LC,NT,LC,LC,LC,LC,DD,LC,LC,DD,LC
Tropical Flooded & Swamp Forest,Antigua and Barbuda,CR,DD,CR,DD,DD,DD,DD,LC,DD,NE,DD
Tropical Flooded & Swamp Forest,Saint Martin,DD,DD,DD,LC,NT,VU,DD,DD,DD,NE,DD
Tropical Flooded & Swamp Forest,Saint Lucia,EN,NT,CR,LC,NT,VU,DD,LC,DD,NE,DD
Tropical Flooded & Swamp Forest,Puerto Rico,DD,LC,CR,LC,LC,LC,DD,LC,LC,NE,VU
Tropical Flooded & Swamp Forest,Martinique,LC,LC,LC,LC,LC,VU,DD,LC,LC,NE,LC
Tropical Flooded & Swamp Forest,Jamaica,EN,LC,CR,LC,LC,LC,DD,VU,LC,NE,VU
Tropical Flooded & Swamp Forest,Haiti,DD,LC,CR,LC,NT,LC,DD,LC,LC,NE,VU
